35.673153, 139.6797633, '03_2', 'Normal'
35.673301, 139.6797177, '03_2', 'Normal'
35.673301, 139.6797177, '03_2', 'Normal'
35.6735788, 139.6795358, '03_2', 'Normal'
35.6735788, 139.6795358, '03_2', 'Normal'
35.6736343, 139.6795133, '03_2', 'Normal'
35.6736343, 139.6795133, '03_2', 'Normal'
35.6737732, 139.6794449, '03_2', 'Normal'
35.6745045, 139.6801382, '03_2', 'Normal'
35.6745045, 139.6801382, '03_2', 'Normal'
35.6744676, 139.6802404, '03_2', 'Normal'
35.6744676, 139.6802404, '03_2', 'Normal'
35.67439340000001, 139.68051309999998, '03_2', 'Normal'
35.67439340000001, 139.68051309999998, '03_2', 'Normal'
35.6751064, 139.68096749999998, '03_3', 'Good'
35.6751064, 139.68096749999998, '03_3', 'Good'
35.6751897, 139.68070609999998, '03_3', 'Good'
35.6751897, 139.68070609999998, '03_3', 'Good'
35.6752544, 139.680547, '03_3', 'Good'
35.6752544, 139.680547, '03_3', 'Good'
35.67526389999999, 139.68051309999998, '03_3', 'Good'
35.675467499999996, 139.68058109999998, '03_3', 'Good'
35.6756155, 139.6803653, '03_3', 'Good'
35.6756155, 139.6803653, '03_3', 'Good'
35.67577300000001, 139.6799676, '03_3', 'Good'
35.67577300000001, 139.6799676, '03_3', 'Good'
35.676235999999996, 139.6803995, '03_3', 'Good'
35.676235999999996, 139.6803995, '03_3', 'Good'
35.676634, 139.6799903, '03_3', 'Good'
35.676634, 139.6799903, '03_3', 'Good'
35.6767265, 139.68011529999998, '03_3', 'Good'
35.67681919999999, 139.6802289, '03_3', 'Good'
35.6769209, 139.6803311, '03_3', 'Good'
35.6770042, 139.6804106, '03_3', 'Good'
35.6771339, 139.6805244, '03_3', 'Good'
35.677217299999995, 139.6805925, '03_3', 'Good'
35.6773375, 139.6806605, '03_3', 'Good'
35.677920799999995, 139.6810016, '03_3', 'Good'
